city,score,reasons,premium,breadth,CITY_MARGIN_STRESS
Смолян,0,,0.07536537260788889,0.25806451612903225,False
Монтана,0,,0.07454026816288883,0.40625,False
Видин,0,,0.0745358477493685,0.46875,False
Пазарджик,0,,0.04811657297881289,0.16129032258064516,False
Кюстендил,0,,0.0476638078264211,0.34375,False
Благоевград,0,,0.0333128753503138,0.0625,False
Пловдив,0,,0.03163050881764806,0.125,False
Силистра,0,,0.029641572579691022,0.06666666666666667,False
Търговище,0,,0.0103826295027023,0.1935483870967742,False
Разград,0,,0.00883536240180316,0.12903225806451613,False
Шумен,0,,0.005658692659454845,0.2903225806451613,False
Русе,0,,0.005393390144969645,0.0625,False
Добрич,0,,0.004529477681656235,0.1875,False
Варна,0,,0.003587866174870946,0.25,False
България,0,,0.0,0.09375,False
Кърджали,0,,-0.003552162203119713,0.0625,False
Враца,0,,-0.009725351378475633,0.22580645161290322,False
Хасково,0,,-0.011252653757125364,0.03125,False
Стара Загора,0,,-0.014268362527992906,0.0625,False
Велико Търново,0,,-0.01651751255940148,0.0625,False
Плевен,0,,-0.019080900622344688,0.1875,False
София град,0,,-0.020293806793102664,0.0625,False
Ловеч,0,,-0.02734517900033695,0.09375,False
Габрово,0,,-0.029407914626118803,0.15625,False
Перник,0,,-0.04041208463740653,0.25,False
Ямбол,0,,-0.05499627310677291,0.0625,False
Сливен,0,,-0.05604779080278155,0.0,False
Бургас,0,,-0.056474380673914526,0.09375,False
София област,0,,-0.07691765250876703,0.30434782608695654,False
